"ind1.id"	"ind2.id"	"ritland"
"15M"	"24M"	-0.1657
"16M"	"18M"	-0.1643
"12M"	"32M"	-0.1643
"11M"	"32M"	-0.164
"7M"	"26M"	-0.164
"20M"	"32M"	-0.1628
"27M"	"23M"	-0.1606
"18M"	"21M"	-0.1605
"9M"	"32M"	-0.1602
"16M"	"20M"	-0.159
"11M"	"4M"	-0.1568
"1M"	"2M"	-0.1535
"21M"	"24M"	-0.152
"27M"	"31M"	-0.1506
"29M"	"17M"	-0.1467
"6M"	"17M"	-0.1459
"21M"	"12M"	-0.1459
"18M"	"31M"	-0.1458
"20M"	"31M"	-0.1445
"6M"	"13M"	-0.1443
"4M"	"26M"	-0.1442
"13M"	"30M"	-0.1437
"21M"	"14M"	-0.1429
"9M"	"14M"	-0.139
"22M"	"25M"	-0.1387
"27M"	"2M"	-0.1373
"29M"	"9M"	-0.1367
"1M"	"21M"	-0.134
"11M"	"21M"	-0.1337
"6M"	"32M"	-0.131
"11M"	"14M"	-0.1301
"16M"	"19M"	-0.1296
"7M"	"17M"	-0.1287
"24M"	"30M"	-0.1278
"8M"	"2M"	-0.1276
"29M"	"28M"	-0.1241
"10M"	"22M"	-0.1225
"16M"	"17M"	-0.1189
"22M"	"26M"	-0.1177
"22M"	"19M"	-0.1157
"22M"	"24M"	-0.1144
"14M"	"25M"	-0.1144
"16M"	"21M"	-0.1127
"23M"	"26M"	-0.1103
"1M"	"30M"	-0.1102
"6M"	"20M"	-0.1102
"11M"	"28M"	-0.1101
"20M"	"9M"	-0.1096
"23M"	"30M"	-0.1088
"16M"	"12M"	-0.108
"1M"	"17M"	-0.107
"6M"	"29M"	-0.1061
"13M"	"25M"	-0.1049
"2M"	"28M"	-0.1047
"20M"	"23M"	-0.1045
"2M"	"23M"	-0.1045
"8M"	"4M"	-0.1037
"21M"	"4M"	-0.1023
"12M"	"13M"	-0.1022
"11M"	"16M"	-0.1021
"10M"	"26M"	-0.102
"6M"	"23M"	-0.0998
"2M"	"26M"	-0.0992
"20M"	"22M"	-0.0991
"19M"	"32M"	-0.0985
"21M"	"19M"	-0.0984
"1M"	"4M"	-0.098
"9M"	"17M"	-0.0977
"18M"	"27M"	-0.0974
"23M"	"32M"	-0.097
"6M"	"22M"	-0.0964
"2M"	"30M"	-0.0955
"10M"	"25M"	-0.0933
"23M"	"25M"	-0.0927
"27M"	"14M"	-0.0904
"14M"	"24M"	-0.089
"6M"	"30M"	-0.0883
"9M"	"13M"	-0.0848
"22M"	"15M"	-0.0837
"16M"	"4M"	-0.0804
"13M"	"24M"	-0.0804
"14M"	"15M"	-0.0776
"17M"	"25M"	-0.0775
"18M"	"28M"	-0.0773
"18M"	"30M"	-0.0773
"2M"	"17M"	-0.0769
"22M"	"23M"	-0.0762
"12M"	"15M"	-0.0759
"7M"	"25M"	-0.0754
"23M"	"31M"	-0.0748
"16M"	"15M"	-0.0738
"16M"	"28M"	-0.0728
"18M"	"17M"	-0.0727
"11M"	"20M"	-0.0711
"13M"	"19M"	-0.071
"18M"	"19M"	-0.0701
"4M"	"12M"	-0.07
"10M"	"4M"	-0.0692
"6M"	"26M"	-0.0691
"10M"	"24M"	-0.069
"10M"	"32M"	-0.0688
"9M"	"28M"	-0.0688
"13M"	"17M"	-0.0688
"23M"	"24M"	-0.0683
"22M"	"13M"	-0.0682
"4M"	"13M"	-0.0682
"11M"	"18M"	-0.0661
"11M"	"25M"	-0.0659
"7M"	"28M"	-0.0656
"1M"	"28M"	-0.062
"29M"	"2M"	-0.0611
"14M"	"17M"	-0.0604
"8M"	"25M"	-0.0603
"12M"	"24M"	-0.0601
"6M"	"19M"	-0.06
"20M"	"21M"	-0.0594
"20M"	"25M"	-0.0587
"6M"	"15M"	-0.0584
"11M"	"22M"	-0.0565
"4M"	"32M"	-0.0565
"7M"	"14M"	-0.0565
"13M"	"26M"	-0.0541
"1M"	"13M"	-0.0539
"17M"	"24M"	-0.0529
"4M"	"9M"	-0.0517
"1M"	"8M"	-0.0515
"7M"	"24M"	-0.0501
"22M"	"12M"	-0.05
"1M"	"15M"	-0.0496
"7M"	"19M"	-0.0489
"6M"	"10M"	-0.0487
"18M"	"22M"	-0.0474
"20M"	"4M"	-0.047
"10M"	"16M"	-0.0452
"21M"	"13M"	-0.0441
"9M"	"15M"	-0.0437
"11M"	"17M"	-0.0435
"13M"	"31M"	-0.0431
"11M"	"24M"	-0.0416
"14M"	"26M"	-0.0416
"8M"	"18M"	-0.0406
"29M"	"31M"	-0.0399
"15M"	"31M"	-0.0369
"8M"	"24M"	-0.0358
"29M"	"13M"	-0.0358
"13M"	"32M"	-0.0354
"20M"	"24M"	-0.0344
"1M"	"14M"	-0.0337
"10M"	"12M"	-0.0315
"6M"	"7M"	-0.0311
"28M"	"31M"	-0.03
"13M"	"23M"	-0.0294
"8M"	"14M"	-0.0289
"4M"	"17M"	-0.0285
"16M"	"25M"	-0.026
"11M"	"15M"	-0.0259
"4M"	"14M"	-0.0255
"16M"	"26M"	-0.0253
"10M"	"7M"	-0.0236
"10M"	"14M"	-0.0233
"28M"	"30M"	-0.023
"1M"	"26M"	-0.0225
"25M"	"31M"	-0.0212
"22M"	"29M"	-0.0192
"11M"	"29M"	-0.0182
"11M"	"7M"	-0.0175
"11M"	"30M"	-0.0164
"10M"	"2M"	-0.016
"20M"	"15M"	-0.016
"16M"	"27M"	-0.0146
"10M"	"13M"	-0.0142
"8M"	"32M"	-0.014
"22M"	"4M"	-0.0135
"16M"	"2M"	-0.0131
"18M"	"25M"	-0.0126
"15M"	"32M"	-0.0125
"17M"	"30M"	-0.0113
"21M"	"28M"	-0.0109
"12M"	"26M"	-0.009
"18M"	"26M"	-0.0077
"4M"	"30M"	-0.0069
"6M"	"31M"	-0.0067
"10M"	"20M"	-0.0065
"27M"	"13M"	-0.0053
"1M"	"12M"	-0.0052
"22M"	"28M"	-0.0031
"27M"	"7M"	-0.0023
"8M"	"7M"	-0.002
"16M"	"24M"	-0.0017
"29M"	"23M"	-0.0015
"13M"	"28M"	-0.001
"2M"	"12M"	-5e-04
"1M"	"11M"	6e-04
"16M"	"13M"	0.0018
"25M"	"30M"	0.0018
"11M"	"2M"	0.0029
"21M"	"9M"	0.0032
"24M"	"31M"	0.0034
"11M"	"13M"	0.0046
"11M"	"31M"	0.0057
"1M"	"7M"	0.0076
"20M"	"2M"	0.0091
"6M"	"4M"	0.0099
"14M"	"32M"	0.0102
"8M"	"17M"	0.011
"8M"	"30M"	0.0112
"8M"	"29M"	0.0113
"10M"	"18M"	0.0113
"18M"	"24M"	0.0117
"10M"	"11M"	0.0122
"16M"	"14M"	0.0128
"20M"	"28M"	0.0137
"9M"	"12M"	0.015
"18M"	"15M"	0.0162
"20M"	"27M"	0.0168
"21M"	"2M"	0.017
"20M"	"19M"	0.0175
"29M"	"32M"	0.0227
"15M"	"23M"	0.0228
"8M"	"11M"	0.0242
"6M"	"16M"	0.0271
"22M"	"14M"	0.0288
"8M"	"20M"	0.029
"29M"	"25M"	0.0297
"1M"	"9M"	0.0306
"7M"	"12M"	0.0319
"7M"	"9M"	0.0334
"21M"	"17M"	0.0352
"2M"	"19M"	0.0364
"1M"	"23M"	0.0377
"20M"	"29M"	0.0377
"12M"	"14M"	0.0387
"12M"	"19M"	0.0388
"20M"	"13M"	0.0394
"1M"	"27M"	0.0396
"17M"	"26M"	0.0398
"29M"	"15M"	0.0406
"27M"	"19M"	0.044
"9M"	"26M"	0.0468
"12M"	"31M"	0.05
"11M"	"9M"	0.0516
"29M"	"12M"	0.0517
"1M"	"6M"	0.0533
"29M"	"24M"	0.054
"16M"	"9M"	0.0549
"6M"	"2M"	0.0551
"18M"	"12M"	0.0555
"6M"	"12M"	0.0556
"18M"	"20M"	0.0593
"7M"	"13M"	0.0594
"1M"	"24M"	0.0607
"4M"	"31M"	0.0611
"12M"	"30M"	0.0617
"16M"	"7M"	0.0642
"6M"	"21M"	0.0647
"2M"	"13M"	0.0667
"4M"	"28M"	0.067
"14M"	"23M"	0.0682
"15M"	"26M"	0.0697
"4M"	"15M"	0.0709
"2M"	"25M"	0.0716
"18M"	"29M"	0.0721
"10M"	"9M"	0.0746
"12M"	"25M"	0.0766
"4M"	"23M"	0.0778
"11M"	"23M"	0.0795
"12M"	"23M"	0.0827
"20M"	"26M"	0.083
"9M"	"24M"	0.0856
"9M"	"25M"	0.0856
"14M"	"28M"	0.086
"28M"	"32M"	0.0862
"29M"	"14M"	0.0882
"27M"	"26M"	0.0895
"16M"	"31M"	0.0901
"21M"	"7M"	0.0916
"21M"	"29M"	0.0917
"20M"	"12M"	0.0919
"22M"	"2M"	0.0952
"18M"	"14M"	0.0959
"2M"	"24M"	0.0967
"1M"	"31M"	0.0968
"6M"	"24M"	0.1013
"21M"	"15M"	0.1035
"22M"	"17M"	0.1038
"7M"	"23M"	0.108
"29M"	"7M"	0.1096
"7M"	"15M"	0.1116
"29M"	"19M"	0.1119
"8M"	"26M"	0.1162
"18M"	"4M"	0.1168
"2M"	"32M"	0.1184
"27M"	"4M"	0.1303
"9M"	"31M"	0.1345
"10M"	"23M"	0.1386
"20M"	"7M"	0.1397
"13M"	"14M"	0.1405
"9M"	"19M"	0.1455
"11M"	"12M"	0.1466
"27M"	"32M"	0.1499
"8M"	"10M"	0.1519
"6M"	"25M"	0.1526
"18M"	"23M"	0.1545
"8M"	"21M"	0.1553
"27M"	"30M"	0.1561
"2M"	"31M"	0.157
"21M"	"26M"	0.1614
"16M"	"23M"	0.1698
"22M"	"27M"	0.1716
"8M"	"13M"	0.1752
"18M"	"13M"	0.1782
"17M"	"28M"	0.1873
"1M"	"25M"	0.189
"14M"	"19M"	0.1969
"27M"	"17M"	0.2032
"6M"	"11M"	0.2059
"14M"	"30M"	0.2115
"8M"	"23M"	0.2139
"26M"	"31M"	0.2148
"15M"	"17M"	0.2196
"11M"	"26M"	0.2297
"17M"	"32M"	0.2406
"15M"	"28M"	0.248
"2M"	"9M"	0.2494
"20M"	"17M"	0.2766
"27M"	"15M"	0.2829
"18M"	"7M"	0.2838
"10M"	"29M"	0.3243
"6M"	"9M"	0.4061
"26M"	"28M"	0.4244
"10M"	"19M"	0.4541
"4M"	"19M"	0.5319
"21M"	"31M"	0.5353
"27M"	"28M"	0.5591
"30M"	"32M"	0.7385
"22M"	"32M"	0.8053
"1M"	"16M"	0.881
"22M"	"30M"	0.8894
"24M"	"25M"	1.0587
